Master Index,split,y_true,XGBoost,InceptionTime,MiniRocket,Transformer,SoftVote,WeightedVote,Stacking,recommended_proba,recommended_flag
1,train,0,0.6795553599999999,0.62030774,0.5009821379579941,0.023537695,0.4560957332394985,0.6932655145240377,0.6458116220897955,0.6458116220897955,1
2,val,0,0.40399957,0.43441698,0.4485664762822827,0.016454339,0.3258593413205707,0.4953061988072674,0.37192427590290267,0.37192427590290267,0
7,train,1,0.2259063,0.51267725,0.2021857908695425,0.019532442,0.24007544571738562,0.36491467749042616,0.29385499730663495,0.29385499730663495,0
9,test,0,0.6287795,0.51149184,0.4226681002573866,0.0076282024,0.39264191066434667,0.596815704209807,0.5135994289950053,0.5135994289950053,1
11,train,1,0.21704674000000002,0.5073366,0.1198304711581429,0.44258034,0.3216985377895357,0.4889817774400943,0.29177686107906786,0.29177686107906786,0
13,test,1,0.72975358,0.9397816,0.7729699977822242,0.96660626,0.852277859445556,1.2954623463572452,0.9149236719663074,0.9149236719663074,1
16,test,0,0.9121654260000001,0.9377914,0.8927319797078682,0.98993856,0.9331568414269671,1.4183983989689897,0.9441222675124215,0.9441222675124215,1
17,train,1,0.21888094999999996,0.61143595,0.5592998688757445,0.8136062,0.5508057422189361,0.8372247281727828,0.5369069373713172,0.5369069373713172,1
18,train,1,0.13549155000000002,0.48002163,0.3838556084604108,0.011436105,0.2527012233651027,0.38410585951495607,0.29034523395145945,0.29034523395145945,0
20,train,1,0.06698512999999995,0.18082622,0.1258360156168568,0.0044154525,0.09451570452921418,0.14366387088440558,0.08900704710280416,0.08900704710280416,0
22,train,1,0.21913265999999998,0.37756371,0.4452034108021595,0.021963537,0.26596582945053987,0.40426806076482064,0.26676194981002105,0.26676194981002105,0
23,test,0,0.57309526,0.6633322,0.654565724092548,0.96689224,0.714471356023137,1.0859964611551682,0.742893877761769,0.742893877761769,1
24,test,0,0.65133047,0.5946409,0.7281882528064706,0.988585,0.7406861557016177,1.125842956666459,0.7436811328755266,0.7436811328755266,1
25,test,1,0.321269,0.36809564,0.2879853890241568,0.011161923,0.2471279880060392,0.3756345417691796,0.25216788698304615,0.25216788698304615,0
27,train,1,0.11255157000000005,0.32118014,0.1555696532004472,0.0049479604,0.1485623309001118,0.22581474296816997,0.14767039609311858,0.14767039609311858,0
28,train,0,0.6359062,0.7561235,0.7480024927159095,0.94116545,0.7702994106789773,1.1708551042320454,0.8293821174739177,0.8293821174739177,1
30,train,0,0.947264675,0.89406914,0.9152243207586048,0.9884382,0.9362490839396512,1.42309860758827,0.9409972913052109,0.9409972913052109,1
31,train,0,0.93219354,0.8901722,0.9005306016124085,0.97430605,0.9243005979031022,1.404936908812715,0.937536410956258,0.937536410956258,1
32,train,1,0.2035397,0.481559,0.3666560862201942,0.026094437,0.26946230580504854,0.4095827048236738,0.3106590761398701,0.3106590761398701,0
35,test,1,0.50730258,0.55632,0.6875154400378914,0.07974118,0.4577198000094729,0.6957340960143988,0.5927043545059818,0.5927043545059818,1
37,val,1,0.56412014,0.7299821,0.6693958700258535,0.97574455,0.7348106650064634,1.1169122108098244,0.7836907976386603,0.7836907976386603,1
41,val,1,0.38094056,0.31790957,0.339465585575046,0.0052616,0.2608943288937615,0.3965593799185174,0.2516709309607328,0.2516709309607328,0
43,train,1,0.12399360000000004,0.44539216,0.2065578768702372,0.011392653,0.19683407246755932,0.2991877901506901,0.2212494938521756,0.2212494938521756,0
44,val,0,0.3479833,0.4304749,0.4160686278989535,0.07411909,0.3171614794747384,0.48208544880160237,0.3425083847961423,0.3425083847961423,0
47,train,1,0.11777806000000002,0.29154643,0.1835422892414306,0.004012406,0.14921979631035764,0.22681409039174366,0.14120461377040905,0.14120461377040905,0
50,train,1,0.37803036,0.3605754,0.3634390111846842,0.004328251,0.27659325554617104,0.42042174843018,0.2842756500065024,0.2842756500065024,0
51,val,0,0.34717299999999995,0.37921694,0.4586164400299689,0.0050233603,0.2975074350824922,0.45221130132538817,0.31283630295363307,0.31283630295363307,0
52,train,1,0.24920949999999997,0.5512117,0.0623928267675671,0.6459011,0.3771787816918918,0.5733117481716754,0.33091896424963846,0.33091896424963846,0
