Master_Index,split,prob_at_risk,true_label
1,train,0.62030774,0
7,train,0.51267725,1
11,train,0.5073366,1
17,train,0.61143595,1
18,train,0.48002163,1
20,train,0.18082622,1
22,train,0.37756371,1
27,train,0.32118014,1
28,train,0.7561235,0
30,train,0.89406914,0
31,train,0.8901722,0
32,train,0.481559,1
43,train,0.44539216,1
47,train,0.29154643,1
50,train,0.3605754,1
52,train,0.5512117,1
54,train,0.38923287,1
56,train,0.506212,1
58,train,0.32635403,1
59,train,0.5770879,0
61,train,0.4392151,1
66,train,0.554113,0
71,train,0.26325214,1
77,train,0.5809246,1
78,train,0.8910492,0
82,train,0.56329614,0
83,train,0.61431414,1
87,train,0.828378,1
90,train,0.5643633,0
93,train,0.2855381,1
95,train,0.4722841,1
96,train,0.35754162,1
100,train,0.49857643,1
101,train,0.38736942,1
103,train,0.12243097,1
107,train,0.34603372,0
109,train,0.41363972,1
111,train,0.8380624,0
114,train,0.832707,0
115,train,0.27844903,1
118,train,0.50415087,0
121,train,0.49808627,0
125,train,0.9399746,0
126,train,0.2674589,1
127,train,0.48826224,1
128,train,0.8174881,0
130,train,0.6295509,1
131,train,0.1449372,1
134,train,0.90442777,0
135,train,0.59289736,1
139,train,0.39110622,1
148,train,0.28404495,1
149,train,0.7466363,1
157,train,0.7757329,0
161,train,0.746374,0
162,train,0.38126117,1
167,train,0.49936974,1
168,train,0.8012487,1
169,train,0.62257075,0
171,train,0.3740757,1
175,train,0.54213035,0
178,train,0.61966515,0
189,train,0.5017777,1
190,train,0.92091316,0
195,train,0.5470044,0
197,train,0.3085552,1
199,train,0.5772493,1
203,train,0.6116732,0
205,train,0.60458034,0
207,train,0.49112162,0
211,train,0.4313147,1
213,train,0.46804866,1
214,train,0.68152195,0
217,train,0.49219376,1
224,train,0.5490593,1
226,train,0.4029047,1
227,train,0.6304969,0
229,train,0.73774034,1
232,train,0.57850075,1
235,train,0.56156904,0
238,train,0.7850615,0
241,train,0.7135676,1
247,train,0.58214086,0
250,train,0.7234159,0
254,train,0.57425517,0
256,train,0.7352112,0
265,train,0.77787495,0
267,train,0.21859334,1
274,train,0.4429226,1
283,train,0.41656995,1
284,train,0.75149345,0
285,train,0.58906305,0
286,train,0.5471621,1
287,train,0.43045908,1
288,train,0.4188707,1
291,train,0.36633778,1
296,train,0.36860248,1
297,train,0.26780918,1
299,train,0.397007,1
302,train,0.48451257,1
314,train,0.5976103,1
318,train,0.28075638,1
325,train,0.26513833,1
332,train,0.52240056,1
333,train,0.48562276,1
335,train,0.47914588,1
339,train,0.54044145,1
340,train,0.6891202,1
342,train,0.70218635,0
344,train,0.523315,1
349,train,0.63160837,1
350,train,0.5922766,0
359,train,0.5110435,1
361,train,0.5842487,1
362,train,0.6044346,1
364,train,0.45816806,1
365,train,0.66138333,1
367,train,0.47068253,1
368,train,0.28891975,1
372,train,0.47817293,1
374,train,0.69886035,0
376,train,0.544526,0
377,train,0.7654899,0
379,train,0.27271688,1
383,train,0.72312146,0
384,train,0.41496333,1
388,train,0.6086458,1
393,train,0.73069143,0
394,train,0.6325968,1
396,train,0.6209148,0
397,train,0.75390816,0
402,train,0.6099787,1
403,train,0.5081345,1
405,train,0.40823182,1
407,train,0.5292248,0
408,train,0.3763387,1
410,train,0.66010636,0
411,train,0.58121896,1
413,train,0.6027791,0
416,train,0.5376186,1
421,train,0.6418212,1
426,train,0.2134858,1
428,train,0.78181666,1
429,train,0.1953178,1
430,train,0.6655473,0
432,train,0.5521413,1
433,train,0.56389123,0
437,train,0.36499283,1
441,train,0.20547494,1
444,train,0.5283596,1
445,train,0.33431602,1
450,train,0.3553924,1
452,train,0.67054224,0
455,train,0.29996854,1
461,train,0.3681603,0
462,train,0.56161743,1
467,train,0.76473475,0
476,train,0.6675441,0
477,train,0.4693869,1
478,train,0.6841614,0
479,train,0.32901,1
482,train,0.62998414,0
485,train,0.5656622,0
486,train,0.71849823,0
489,train,0.49898136,0
493,train,0.35997495,1
494,train,0.75508803,1
496,train,0.659808,0
499,train,0.59588116,0
503,train,0.4446834,0
504,train,0.4667406,1
507,train,0.5619658,0
510,train,0.49522215,1
513,train,0.40971062,0
522,train,0.20185179,0
524,train,0.46576226,1
528,train,0.5014397,1
530,train,0.35796833,1
533,train,0.7143837,0
536,train,0.67118824,1
538,train,0.5780676,1
539,train,0.22113726,1
541,train,0.27295452,1
544,train,0.7097349,1
549,train,0.760738,0
550,train,0.39621717,1
553,train,0.5473449,0
554,train,0.31081778,1
555,train,0.47041705,1
556,train,0.59222525,0
558,train,0.64260024,0
559,train,0.59526926,1
560,train,0.77677965,0
561,train,0.4669323,1
562,train,0.5415342,1
564,train,0.2555715,1
565,train,0.9549083,0
566,train,0.5197466,0
567,train,0.80027795,0
570,train,0.40274987,1
572,train,0.59213823,0
574,train,0.6404848,1
576,train,0.5120892,1
578,train,0.31750286,1
579,train,0.62501925,0
580,train,0.7555484,0
582,train,0.71758944,0
585,train,0.35299233,1
586,train,0.56697565,0
589,train,0.43635738,1
591,train,0.5207161,1
592,train,0.52763397,0
593,train,0.6173613,0
599,train,0.32526657,1
602,train,0.58336157,0
604,train,0.32398772,1
605,train,0.726399,0
607,train,0.57671034,1
610,train,0.5908381,1
615,train,0.44124576,1
617,train,0.5151944,0
623,train,0.39748713,1
631,train,0.38371176,1
634,train,0.25202838,1
636,train,0.48743683,1
640,train,0.804503,0
641,train,0.56732184,1
644,train,0.7177119,1
647,train,0.2612519,1
