master_index,y_true,proba_risk,split
1,0,0.3975992206029992,train
2,0,0.3563693538838558,val
7,1,0.1554835064722958,train
9,0,0.3352009654929853,test
11,1,0.0963485585664678,train
13,1,0.7066385752488682,test
16,0,0.8549412271336134,test
17,1,0.4606583923784295,train
18,1,0.3035553509233435,train
20,1,0.095201034736273,train
22,1,0.3596859844835604,train
23,0,0.5679562378258378,test
24,0,0.6534830595975014,test
25,1,0.2202180915935152,test
27,1,0.1159650658811557,train
28,0,0.6780423028931275,train
30,0,0.8821457615092579,train
31,0,0.864353175314922,train
32,1,0.2947400120503851,train
35,1,0.6052298312729136,test
37,1,0.6061007742587208,val
41,1,0.2659848789235388,val
43,1,0.1603494947342562,train
44,0,0.3227656296292734,val
47,1,0.1408228452815901,train
50,1,0.2933322910149875,train
51,0,0.3516249117219311,val
52,1,0.0531314856880761,train
54,1,0.1344442535744635,train
56,1,0.1408313111331901,train
58,1,0.2921051168552065,train
59,0,0.7886514837569418,train
61,1,0.1902666203166619,train
62,1,0.3312031040934237,val
64,1,0.3236358133868032,val
66,0,0.5488080906041336,train
69,0,0.617525037470531,test
71,1,0.446510931129587,train
77,1,0.4942956081052517,train
78,0,0.9000717234698401,train
81,1,0.1588846834118392,test
82,0,0.4285167574452513,train
83,1,0.1416281939343474,train
85,0,0.5165416166145922,test
87,1,0.5983917284350804,train
89,1,0.3029978129011751,test
90,0,0.4759754536073644,train
93,1,0.2154419954382557,train
95,1,0.2179190780264357,train
96,1,0.1296089387014187,train
99,1,0.2392719348353249,val
100,1,0.544489733026461,train
101,1,0.1625807378393252,train
103,1,0.1395850258922908,train
104,1,0.4541001580984954,val
105,1,0.2461409991926407,test
107,0,0.3055627692726699,train
109,1,0.3022985357469377,train
111,0,0.7287187977693321,train
112,1,0.2921675036436917,val
114,0,0.7030067150801802,train
115,1,0.3245168416492057,train
116,0,0.7364408709025958,val
118,0,0.5997076807991932,train
121,0,0.4450514964665031,train
125,0,0.8458446112778222,train
126,1,0.2230031214227866,train
127,1,0.4146529020389824,train
128,0,0.7036328137527097,train
130,1,0.1994377316224569,train
131,1,0.1515050613702511,train
132,1,0.5329858606635909,test
134,0,0.8643623979210622,train
135,1,0.2409339320560225,train
139,1,0.1933790429753723,train
