master_id,p_at_risk
1,0.023537695
2,0.016454339
7,0.019532442
9,0.0076282024
11,0.44258034
13,0.96660626
16,0.98993856
17,0.8136062
18,0.011436105
20,0.0044154525
22,0.021963537
23,0.96689224
24,0.988585
25,0.011161923
27,0.0049479604
28,0.94116545
30,0.9884382
31,0.97430605
32,0.026094437
35,0.07974118
37,0.97574455
41,0.0052616
43,0.011392653
44,0.07411909
47,0.004012406
50,0.004328251
51,0.0050233603
52,0.6459011
54,0.0073648095
56,0.029953599
58,0.005896628
59,0.9762611
61,0.028328538
62,0.065231144
64,0.020982802
66,0.016356409
69,0.029076755
71,0.019841313
77,0.015899181
78,0.9891105
81,0.0045407414
82,0.9708928
83,0.008646548
85,0.057100534
87,0.9640423
89,0.03626865
90,0.85698795
93,0.0076158643
95,0.014556646
96,0.006491065
99,0.017887473
100,0.022186875
101,0.06510115
103,0.010946572
104,0.020743966
105,0.01944679
107,0.956817
109,0.01650381
111,0.97868407
112,0.012640655
114,0.96432173
115,0.004494667
116,0.042794764
118,0.025566459
121,0.006707549
125,0.9886087
126,0.0053718686
127,0.052715063
128,0.9616906
130,0.04150909
131,0.0034175515
132,0.037301064
134,0.98741645
135,0.012926102
139,0.0047861338
142,0.005509615
147,0.004096091
148,0.004246354
149,0.029645145
153,0.037837386
157,0.9740546
161,0.9877782
162,0.010514677
167,0.0305928
168,0.98190534
169,0.9458027
171,0.3502639
173,0.96080387
175,0.03766507
178,0.01734227
181,0.02210766
188,0.10800731
189,0.96127814
190,0.9897402
193,0.9628852
194,0.62832665
195,0.9596593
197,0.009957433
199,0.019361734
202,0.022040844
203,0.03513533
204,0.9573275
205,0.020456374
207,0.03896165
211,0.009228706
213,0.9387993
214,0.9706964
217,0.013002157
218,0.0042940974
219,0.97018826
223,0.004720688
224,0.13000584
226,0.006461084
227,0.037338436
229,0.9792393
232,0.013719559
233,0.0058775544
235,0.01638025
237,0.0121977925
238,0.9665284
241,0.9740257
247,0.012831211
248,0.00815928
250,0.9542986
251,0.0034308434
254,0.930301
256,0.9630217
261,0.00461787
263,0.01368928
265,0.9616835
267,0.0049216747
269,0.0040738583
273,0.991578
274,0.01804328
277,0.024868667
278,0.018107414
281,0.004696846
282,0.20571941
283,0.006226599
284,0.96633124
285,0.035031617
286,0.0070921183
287,0.014064193
288,0.020028591
291,0.004248023
296,0.012988567
297,0.0058743954
299,0.007135868
302,0.0154953
304,0.7562339
314,0.9331811
315,0.95765144
318,0.0037415028
325,0.0059022903
329,0.9722958
332,0.25923413
333,0.019796371
335,0.008502662
