Master Index,before_after,date_diff,flight_length,label,label_grouped,rul_2d,rul_5d,rul_10d,split,number_flights_before
1,before,-1,4723.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
2,before,-2,4649.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,3
7,after,1,3482.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
9,before,-1,4979.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,0
11,after,2,5204.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
13,after,5,4770.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
16,before,0,450.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,0
17,before,-4,6525.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,3
18,before,-3,2349.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,2
20,after,1,4870.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
22,after,1,5149.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
23,before,0,4474.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,0
24,before,0,5127.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,0
25,after,1,4216.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
27,after,3,5493.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
28,before,-2,9962.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
30,before,0,605.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
31,before,0,574.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
32,after,1,5569.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
35,after,1,4590.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
37,before,-3,6760.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,val,1
41,after,2,4823.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
43,after,3,6161.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
44,before,-2,6820.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,2
47,after,3,3232.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
50,after,1,5912.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
51,before,-2,5969.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,4
52,after,13,7040.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
54,after,3,5893.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
56,before,-3,6150.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,3
58,after,4,5337.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
59,before,0,447.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
61,after,1,7527.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
62,after,1,154.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
64,before,-5,8246.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,val,4
66,before,-1,5055.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
69,before,-2,6175.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,4
71,after,1,2269.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
77,after,8,4469.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
78,before,0,465.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
81,after,1,5414.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
82,before,-2,1835.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,3
83,after,3,5850.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
85,before,0,3809.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,0
87,before,-5,5817.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,3
89,after,5,310.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
90,before,-1,6218.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
93,after,2,6702.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
95,after,2,4260.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
96,after,4,3329.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
99,after,1,1695.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
100,after,1,4511.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
101,after,6,5461.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
103,after,5,5743.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
104,after,1,11361.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
105,after,1,5570.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
107,before,-1,5941.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
109,after,1,7110.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
111,before,-1,3449.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
112,after,1,5991.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
114,before,0,7796.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
115,after,3,6364.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
116,before,0,185.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,0
118,before,-2,4683.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
121,before,-2,5676.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
125,before,0,403.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
126,after,3,3669.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
127,after,1,263.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
128,before,-2,8388.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,4
130,after,11,1190.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
131,after,2,6519.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
132,after,2,169.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
134,before,0,528.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
135,after,1,5367.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
139,after,4,6967.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
142,before,-2,1695.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,4
147,after,1,5601.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
148,after,1,8965.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
149,after,1,5564.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
153,before,0,4442.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,0
